Id;Green_MS;Yellow_MS;Orange1_MS;Orange2_MS;Red_MS;Yellow_TE;Orange_TE;Cyan_TE;Dblue_TE;Black_TE;Green_RGB;Yellow_RGB;Orange1_RGB;Orange2_RGB;Red_RGB;Sicaklik_Ort;Sicaklik_Max;Sicaklik_Min;Nem_Ort;Nem_Max;Nem_Min;Yagis;Ruzgar_Ort;Ruzgar_Max;Gunluk_ET0;Ilaclama;Kullenme;Tarih
27;25,46283279;34,25487703;21,6056137;10,70064635;5,545678482;10,75907357;18,38994369;25,67876591;28,93022273;14,28162103;10,03234396;16,84444161;22,54455722;28,24728914;23,88918473;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
28;17,03459054;36,39820784;16,09116201;9,239356396;5,577036745;11,68125451;17,66754374;26,42064707;29,09586521;14,21093726;10,8447638;17,97241064;23,82880014;25,26315461;22,86572373;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
29;22,78012782;36,18937136;26,72762984;12,45405449;6,875217971;10,91430716;17,99287307;27,12326649;29,46407307;15,19832305;13,26368295;16,199389;22,61179934;25,77451253;23,31676589;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
30;29,74396945;35,26465924;21,0869384;12,38708538;5,36829338;10,69636733;18,61201453;26,35157948;28,6762124;15,25217266;10,30055824;15,04019442;24,18481008;27,52044238;23,11248374;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
31;16,87979481;38,24948851;20,51361603;11,43530346;7,473616481;11,96005078;17,90499358;26,26798911;28,70660668;14,26612387;8,493879834;16,93217282;22,73511798;25,7917647;23,63177472;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
32;29,69611485;35,07327018;17,98547075;14,04367472;7,48817225;12,02828359;17,7519542;27,2003609;28,47216361;14,69966928;12,40217471;15,34928727;24,04021819;25,57396021;22,96980456;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
33;31,12413246;35,64269656;18,10891054;12,96896063;5,233057109;11,94526067;17,60206885;25,83400567;29,93150411;14,91390661;9,523011524;16,05116243;21,95908712;28,18948082;23,49744241;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
34;23,20816982;37,1501775;16,34947196;9,891934832;6,263807256;12,13568674;18,15348852;26,25625853;29,78058963;14,40637305;10,3939626;15,5719605;21,83051508;27,74491318;23,58672613;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
35;20,68827828;32,28529657;21,09271876;14,69225368;7,468384966;10,96625645;19,06205666;26,52602445;29,01973718;14,42573199;13,28511154;16,71339056;23,75379915;28,55992508;23,35127309;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
36;16,60766574;33,31946832;20,82820381;13,41103151;4,570819807;11,94403973;18,46136309;26,63863202;29,58198294;13,80708746;11,1489813;15,34374601;22,09358465;25,9289565;23,76798255;24,43;34,83;14,46;55,31;99,99;16,83;0;2,4;6,8;5,4;0;0;30.07.2022
